Date,Price
"Jun 30, 2008",1402.129
"Jul 31, 2008",1366.699
"Aug 29, 2008",1344.865
"Sep 30, 2008",1182.443
"Oct 31, 2008",957.245
"Nov 28, 2008",892.926
"Dec 31, 2008",920.226
"Jan 30, 2009",838.827
"Feb 27, 2009",750.863
"Mar 31, 2009",805.216
"Apr 30, 2009",893.025
"May 29, 2009",970.004
"Jun 30, 2009",964.048
"Jul 31, 2009",1044.753
"Aug 31, 2009",1085.599
"Sep 30, 2009",1126.985
"Oct 30, 2009",1106.17
"Nov 30, 2009",1149.007
"Dec 31, 2009",1168.468
"Jan 29, 2010",1119.537
"Feb 26, 2010",1133.348
"Mar 31, 2010",1200.53
"Apr 30, 2010",1198.564
"May 31, 2010",1079.801
"Jun 30, 2010",1041.323
"Jul 30, 2010",1124.826
"Aug 31, 2010",1080.699
"Sep 30, 2010",1179.194
"Oct 29, 2010",1222.226
"Nov 30, 2010",1193.558
"Dec 31, 2010",1280.071
"Jan 31, 2011",1308.083
"Feb 28, 2011",1351.647
"Mar 31, 2011",1334.925
"Apr 29, 2011",1388.62
"May 31, 2011",1354.607
"Jun 30, 2011",1331.182
"Jul 29, 2011",1306.054
"Aug 31, 2011",1211.224
"Sep 30, 2011",1104.065
"Oct 31, 2011",1217.296
"Nov 30, 2011",1184.604
"Dec 30, 2011",1182.595
"Jan 31, 2012",1240.894
"Feb 29, 2012",1298.72
"Mar 30, 2012",1312.011
"Apr 30, 2012",1293.991
"May 31, 2012",1177.645
"Jun 29, 2012",1235.716
"Jul 31, 2012",1250.569
"Aug 31, 2012",1279.208
"Sep 28, 2012",1311.504
"Oct 31, 2012",1301.522
"Nov 30, 2012",1315.493
"Dec 31, 2012",1338.5
"Jan 31, 2013",1405.466
"Feb 28, 2013",1405.18
"Mar 29, 2013",1434.515
"Apr 30, 2013",1476.139
"May 31, 2013",1471.933
"Jun 28, 2013",1433.548
"Jul 31, 2013",1507.913
"Aug 30, 2013",1472.738
"Sep 30, 2013",1543.672
"Oct 31, 2013",1602.86
"Nov 29, 2013",1628.424
"Dec 31, 2013",1661.069
"Jan 31, 2014",1598.456
"Feb 28, 2014",1675.4
"Mar 31, 2014",1673.874
"Apr 30, 2014",1687.742
"May 30, 2014",1715.184
"Jun 30, 2014",1743.415
"Jul 31, 2014",1714.353
"Aug 29, 2014",1748.688
"Sep 30, 2014",1698.408
"Oct 31, 2014",1708.092
"Nov 28, 2014",1739.497
"Dec 31, 2014",1709.672
"Jan 30, 2015",1677.537
"Feb 27, 2015",1772.862
"Mar 31, 2015",1740.814
"Apr 30, 2015",1778.4
"May 29, 2015",1779.307
"Jun 30, 2015",1735.613
"Jul 31, 2015",1765.604
"Aug 31, 2015",1645.43
"Sep 30, 2015",1581.922
"Oct 30, 2015",1705.803
"Nov 30, 2015",1694.397
"Dec 31, 2015",1662.794
"Jan 29, 2016",1562.178
"Feb 29, 2016",1547.174
"Mar 31, 2016",1648.118
"Apr 29, 2016",1670.796
"May 31, 2016",1674.613
"Jun 30, 2016",1653.229
"Jul 29, 2016",1721.788
"Aug 31, 2016",1719.524
"Sep 30, 2016",1725.665
"Oct 31, 2016",1690.922
"Nov 30, 2016",1712.089
"Dec 30, 2016",1751.219
"Jan 31, 2017",1792.403
"Feb 28, 2017",1838.699
"Mar 31, 2017",1853.69
"Apr 28, 2017",1878.276
"May 31, 2017",1911.74
"Jun 30, 2017",1916.426
"Jul 31, 2017",1961.1
"Aug 31, 2017",1959.743
"Sep 29, 2017",2000.553
"Oct 31, 2017",2036.804
"Nov 30, 2017",2077.36
"Dec 29, 2017",2103.448
"Jan 31, 2018",2213.238
"Feb 28, 2018",2117.993
"Mar 30, 2018",2066.845
"Apr 30, 2018",2086.514
"May 31, 2018",2092.923
"Jun 29, 2018",2089.301
"Jul 31, 2018",2153.096
"Aug 31, 2018",2175.498
"Sep 28, 2018",2184.009
"Oct 31, 2018",2021.982
"Nov 30, 2018",2041.359
"Dec 31, 2018",1883.901
"Jan 31, 2019",2028.492
"Feb 28, 2019",2085.845
"Mar 29, 2019",2107.742
"Apr 30, 2019",2178.674
"May 31, 2019",2046.246
"Jun 28, 2019",2178.347
